,PL,TEAMPLACE,LASTNAME,FIRSTNAME,YEAR,TEAM,Avg. Mile,TIME,SCORE,MEET,DATE,5k,600m,1k,2k,2.25k,2.5 Miles,4.25k,5.5k,7k,7.25k,Unnamed: 0,GAP,Avg. K,1K,2.4,4.45,8k,PACE,1 Mile,3300,3 Mile,6.5,Finish,3.3k,6.5k,1M,3k,4M,2.4K,4.5K,7K,3K,5.8K
47,48,9,O'Donnell-Hoff, Sam,SO-2,Macalester,6:09.1,19:06.9,,Augsburg Open,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,51,10,Martinez, Mason,JR-3,Macalester,6:38.5,20:38.2,,Augsburg Open,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,52,11,Levey, Elijah,FR-1,Macalester,6:45.5,21:00.0,,Augsburg Open,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,54,12,Stokes, Rob,SO-2,Macalester,7:21.8,22:52.7,,Augsburg Open,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,13,1,Lepak, Jake,SO-2,Macalester,5:29.5,27:18.0,13,Falcon Invite,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,21,2,Doherty, James,JR-3,Macalester,5:35.7,27:48.9,20,Falcon Invite,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,23,3,Boranian, Chris,JR-3,Macalester,5:37.0,27:55.1,22,Falcon Invite,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,26,4,Jarka-Sellers, Peter,SO-2,Macalester,5:38.1,28:00.7,24,Falcon Invite,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,35,5,Reyes Herrera, Edwin,SO-2,Macalester,5:50.4,29:01.9,30,Falcon Invite,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,40,6,O'Donnell-Hoff, Sam,SO-2,Macalester,5:57.8,29:38.6,33,Falcon Invite,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,46,7,Gordon, Alex,SR-4,Macalester,6:03.8,30:08.8,36,Falcon Invite,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,47,8,Baumeister, Mark,FR-1,Macalester,6:05.0,30:14.7,,Falcon Invite,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,49,9,Feeney, Will,SR-4,Macalester,6:05.2,30:15.5,,Falcon Invite,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,51,10,Milner, Michael,SO-2,Macalester,6:08.4,30:31.6,,Falcon Invite,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,53,11,Richmond, Sam,JR-3,Macalester,6:10.3,30:40.8,,Falcon Invite,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,54,12,Bildsten, Ben,SO-2,Macalester,6:11.2,30:45.6,,Falcon Invite,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,57,13,Levey, Elijah,FR-1,Macalester,6:26.2,31:59.9,,Falcon Invite,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,69,14,Stokes, Rob,SO-2,Macalester,7:18.9,36:21.9,,Falcon Invite,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,34,1,Doherty, James,JR-3,Macalester,5:30.6,27:23.5,34,St. Olaf Invitational,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,40,2,Boranian, Chris,JR-3,Macalester,5:32.7,27:34.2,40,St. Olaf Invitational,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,47,3,Lepak, Jake,SO-2,Macalester,5:34.1,27:41.2,45,St. Olaf Invitational,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,73,4,Grant, Spencer,JR-3,Macalester,5:40.3,28:11.8,66,St. Olaf Invitational,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,83,5,Jarka-Sellers, Peter,SO-2,Macalester,5:42.5,28:22.7,72,St. Olaf Invitational,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,104,6,Johnson, Adrian,FR-1,Macalester,5:48.3,28:51.5,84,St. Olaf Invitational,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,176,7,Ebner, Nolan,SR-4,Macalester,6:05.1,30:15.3,106,St. Olaf Invitational,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,182,8,Baumeister, Mark,FR-1,Macalester,6:06.6,30:22.8,,St. Olaf Invitational,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,183,9,O'Donnell-Hoff, Sam,SO-2,Macalester,6:06.9,30:23.8,,St. Olaf Invitational,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,190,10,Gordon, Alex,SR-4,Macalester,6:09.1,30:35.2,,St. Olaf Invitational,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,192,11,Milner, Michael,SO-2,Macalester,6:10.0,30:39.4,,St. Olaf Invitational,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,202,12,Reyes Herrera, Edwin,SO-2,Macalester,6:12.1,30:49.9,,St. Olaf Invitational,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,213,13,Townsend, Ben,SO-2,Macalester,6:19.0,31:24.2,,St. Olaf Invitational,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,229,14,Feeney, Will,SR-4,Macalester,6:28.9,32:13.2,,St. Olaf Invitational,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,242,15,Martinez, Mason,JR-3,Macalester,6:39.0,33:03.8,,St. Olaf Invitational,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,271,16,Stokes, Rob,SO-2,Macalester,7:42.3,38:18.2,,St. Olaf Invitational,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,Grant, Spencer,JR-3,Macalester,5:25,21:43,1,Summit Cup,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,Boranian, Chris,JR-3,Macalester,5:28,21:56,2,Summit Cup,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,3,Lepak, Jake,SO-2,Macalester,5:31,22:07,4,Summit Cup,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,4,Doherty, James,JR-3,Macalester,5:33,22:15,5,Summit Cup,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10,5,Jarka-Sellers, Peter,SO-2,Macalester,5:46,23:07,10,Summit Cup,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,14,6,Ebner, Nolan,SR-4,Macalester,5:57,23:49,13,Summit Cup,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,15,7,Reyes Herrera, Edwin,SO-2,Macalester,5:57,23:52,14,Summit Cup,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,17,8,Gordon, Alex,SR-4,Macalester,6:01,24:07,,Summit Cup,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,18,9,Richmond, Sam,JR-3,Macalester,6:02,24:12,,Summit Cup,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,19,10,Bildsten, Ben,SO-2,Macalester,6:07,24:31,,Summit Cup,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,20,11,Feeney, Will,SR-4,Macalester,6:08,24:35,,Summit Cup,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,21,12,Townsend, Ben,SO-2,Macalester,6:09,24:37,,Summit Cup,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,22,13,Baumeister, Mark,FR-1,Macalester,6:09,24:38,,Summit Cup,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,23,14,O'Donnell-Hoff, Sam,SO-2,Macalester,6:12,24:51,,Summit Cup,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,25,15,Milner, Michael,SO-2,Macalester,6:27,25:52,,Summit Cup,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,26,16,Levey, Elijah,FR-1,Macalester,6:33,26:15,,Summit Cup,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,28,17,Hernandez, Armando,SO-2,Macalester,7:18,29:15,,Summit Cup,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,29,18,Stokes, Rob,SO-2,Macalester,7:59,31:57,,Summit Cup,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,19,1,Lepak, Jake,SO-2,Macalester,5:23.6,26:48.8,19,Running of the Cows (Carleton),2017,,,,,,,,,23:36.3 (8:51.1),,,,,3:11.9,7:45.4 (4:33.6),14:45.3 (6:59.9),26:48.8 (3:12.5),,,,,,,,,,,,,,,,
20,21,2,Boranian, Chris,JR-3,Macalester,5:24.4,26:52.8,21,Running of the Cows (Carleton),2017,,,,,,,,,23:45.2 (8:54.8),,,,,3:12.1,7:47.9 (4:35.8),14:50.4 (7:02.6),26:52.8 (3:07.7),,,,,,,,,,,,,,,,
23,24,3,Grant, Spencer,JR-3,Macalester,5:25.3,26:57.2,24,Running of the Cows (Carleton),2017,,,,,,,,,23:41.0 (8:58.4),,,,,3:11.9,7:45.8 (4:33.9),14:42.6 (6:56.8),26:57.2 (3:16.3),,,,,,,,,,,,,,,,
53,54,4,Jarka-Sellers, Peter,SO-2,Macalester,5:34.3,27:42.2,52,Running of the Cows (Carleton),2017,,,,,,,,,24:12.0 (9:14.1),,,,,3:12.3,7:49.4 (4:37.1),14:58.0 (7:08.6),27:42.2 (3:30.2),,,,,,,,,,,,,,,,
61,62,5,Johnson, Adrian,FR-1,Macalester,5:37.7,27:58.6,58,Running of the Cows (Carleton),2017,,,,,,,,,24:29.9 (9:23.0),,,,,3:13.1,7:55.7 (4:42.6),15:06.9 (7:11.2),27:58.6 (3:28.8),,,,,,,,,,,,,,,,
79,80,6,Gordon, Alex,SR-4,Macalester,5:46.3,28:41.6,66,Running of the Cows (Carleton),2017,,,,,,,,,25:15.9 (9:30.7),,,,,3:24.7,8:20.2 (4:55.5),15:45.2 (7:25.1),28:41.6 (3:25.8),,,,,,,,,,,,,,,,
95,96,7,O'Donnell-Hoff, Sam,SO-2,Macalester,5:51.0,29:05.0,72,Running of the Cows (Carleton),2017,,,,,,,,,25:37.3 (9:30.1),,,,,3:31.3,8:29.0 (4:57.7),16:07.3 (7:38.4),29:05.0 (3:27.8),,,,,,,,,,,,,,,,
101,102,8,Bildsten, Ben,SO-2,Macalester,5:52.5,29:12.5,,Running of the Cows (Carleton),2017,,,,,,,,,25:47.4 (9:42.5),,,,,3:24.4,8:23.7 (4:59.4),16:05.0 (7:41.3),29:12.5 (3:25.1),,,,,,,,,,,,,,,,
110,111,9,Reyes Herrera, Edwin,SO-2,Macalester,5:55.0,29:24.9,,Running of the Cows (Carleton),2017,,,,,,,,,25:52.3 (9:59.9),,,,,3:24.3,8:20.1 (4:55.8),15:52.4 (7:32.4),29:24.9 (3:32.6),,,,,,,,,,,,,,,,
116,117,10,Richmond, Sam,JR-3,Macalester,5:56.6,29:32.7,,Running of the Cows (Carleton),2017,,,,,,,,,25:57.0 (9:50.0),,,,,3:30.9,8:28.6 (4:57.8),16:07.1 (7:38.5),29:32.7 (3:35.7),,,,,,,,,,,,,,,,
121,122,11,Milner, Michael,SO-2,Macalester,5:58.1,29:40.1,,Running of the Cows (Carleton),2017,,,,,,,,,26:14.6 (9:32.8),,,,,3:42.3,8:59.4 (5:17.1),16:41.8 (7:42.5),29:40.1 (3:25.6),,,,,,,,,,,,,,,,
130,131,12,Feeney, Will,SR-4,Macalester,6:02.5,30:02.0,,Running of the Cows (Carleton),2017,,,,,,,,,26:35.4 (9:56.9),,,,,3:31.9,8:42.8 (5:10.9),16:38.5 (7:55.7),30:02.0 (3:26.7),,,,,,,,,,,,,,,,
148,149,13,Baumeister, Mark,FR-1,Macalester,6:16.0,31:09.4,,Running of the Cows (Carleton),2017,,,,,,,,,27:27.1 (10:28.8),,,,,3:34.6,8:49.6 (5:15.0),16:58.3 (8:08.8),31:09.4 (3:42.4),,,,,,,,,,,,,,,,
161,162,14,Lewis-Norelle, Sasha,FR-1,Macalester,6:27.9,32:08.6,,Running of the Cows (Carleton),2017,,,,,,,,,28:29.1 (10:44.9),,,,,3:42.1,9:15.7 (5:33.6),17:44.2 (8:28.6),32:08.6 (3:39.6),,,,,,,,,,,,,,,,
163,164,15,Levey, Elijah,FR-1,Macalester,6:30.1,32:19.4,,Running of the Cows (Carleton),2017,,,,,,,,,28:36.8 (11:01.6),,,,,3:39.2,9:02.0 (5:22.8),17:35.3 (8:33.3),32:19.4 (3:42.7),,,,,,,,,,,,,,,,
172,173,16,Hernandez, Armando,SO-2,Macalester,6:55.0,34:23.3,,Running of the Cows (Carleton),2017,,,,,,,,,30:02.1 (11:53.5),,,,,3:41.9,9:15.9 (5:34.1),18:08.7 (8:52.8),34:23.3 (4:21.2),,,,,,,,,,,,,,,,
69,70,1,Boranian, Chris,JR-3,Macalester,5:21.8,26:39.8,60,Jim Drews Invitational (Lacrosse),2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,108,2,Doherty, James,JR-3,Macalester,5:26.8,27:04.8,86,Jim Drews Invitational (Lacrosse),2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,109,3,Grant, Spencer,JR-3,Macalester,5:27.5,27:07.9,87,Jim Drews Invitational (Lacrosse),2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,164,4,Johnson, Adrian,FR-1,Macalester,5:37.6,27:58.2,108,Jim Drews Invitational (Lacrosse),2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,195,5,Ebner, Nolan,SR-4,Macalester,5:42.5,28:22.5,116,Jim Drews Invitational (Lacrosse),2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,200,6,Reyes Herrera, Edwin,SO-2,Macalester,5:42.9,28:24.6,117,Jim Drews Invitational (Lacrosse),2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,215,7,Bildsten, Ben,SO-2,Macalester,5:44.6,28:33.1,121,Jim Drews Invitational (Lacrosse),2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,243,8,O'Donnell-Hoff, Sam,SO-2,Macalester,5:50.2,29:01.2,,Jim Drews Invitational (Lacrosse),2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,248,9,Milner, Michael,SO-2,Macalester,5:51.2,29:06.1,,Jim Drews Invitational (Lacrosse),2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,249,10,Gordon, Alex,SR-4,Macalester,5:51.3,29:06.3,,Jim Drews Invitational (Lacrosse),2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,254,11,Richmond, Sam,JR-3,Macalester,5:53.4,29:16.8,,Jim Drews Invitational (Lacrosse),2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,306,12,Baumeister, Mark,FR-1,Macalester,6:06.8,30:23.6,,Jim Drews Invitational (Lacrosse),2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,319,13,Feeney, Will,SR-4,Macalester,6:11.2,30:45.3,,Jim Drews Invitational (Lacrosse),2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,337,14,Lewis-Norelle, Sasha,FR-1,Macalester,6:22.3,31:40.7,,Jim Drews Invitational (Lacrosse),2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,339,15,Levey, Elijah,FR-1,Macalester,6:26.0,31:59.0,,Jim Drews Invitational (Lacrosse),2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,344,16,Martinez, Mason,JR-3,Macalester,6:37.7,32:57.3,,Jim Drews Invitational (Lacrosse),2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,345,17,Hernandez, Armando,SO-2,Macalester,6:42.3,33:20.2,,Jim Drews Invitational (Lacrosse),2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,48,1,Boranian, Chris,JR-3,Macalester,5:16.8,26:14.9,48,Central Region,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,101,2,Grant, Spencer,JR-3,Macalester,5:25.6,26:58.9,100,Central Region,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,113,3,Doherty, James,JR-3,Macalester,5:29.8,27:19.5,112,Central Region,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,117,4,Jarka-Sellers, Peter,SO-2,Macalester,5:31.1,27:25.8,116,Central Region,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,122,5,Johnson, Adrian,FR-1,Macalester,5:32.0,27:30.6,121,Central Region,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,132,6,Reyes Herrera, Edwin,SO-2,Macalester,5:34.5,27:42.9,131,Central Region,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,17,1,Boranian,Chris,JR,Macalester,,26:37.0,,MIAC,2017,,,,,,,,,,,16.0,,,,,,,3:20/K,,,,,,,,,,,,,,,
1,20,2,Doherty,James,JR,Macalester,,26:42.9,,MIAC,2017,,,,,,,,,,,19.0,,,,,,,3:20/K,,,,,,,,,,,,,,,
2,40,3,Lepak,Jake,SO,Macalester,,27:08.4,,MIAC,2017,,,,,,,,,,,39.0,,,,,,,3:24/K,,,,,,,,,,,,,,,
3,50,4,Jarka-Sellers,Peter,SO,Macalester,,27:17.4,,MIAC,2017,,,,,,,,,,,49.0,,,,,,,3:25/K,,,,,,,,,,,,,,,
4,63,5,Johnson,Adrian,FR,Macalester,,27:31.1,,MIAC,2017,,,,,,,,,,,62.0,,,,,,,3:26/K,,,,,,,,,,,,,,,
5,76,6,Grant,Spencer,JR,Macalester,,27:47.6,,MIAC,2017,,,,,,,,,,,75.0,,,,,,,3:28/K,,,,,,,,,,,,,,,
6,83,7,Reyes Herrera,Edwin,SO,Macalester,,27:58.4,,MIAC,2017,,,,,,,,,,,82.0,,,,,,,3:30/K,,,,,,,,,,,,,,,
7,90,8,Ebner,Nolan,SR,Macalester,,28:07.1,,MIAC,2017,,,,,,,,,,,89.0,,,,,,,3:31/K,,,,,,,,,,,,,,,
8,113,9,Gordon,Alex,SR,Macalester,,28:40.4,,MIAC,2017,,,,,,,,,,,113.0,,,,,,,3:35/K,,,,,,,,,,,,,,,
9,123,10,Milner,Michael,SO,Macalester,,28:47.6,,MIAC,2017,,,,,,,,,,,123.0,,,,,,,3:36/K,,,,,,,,,,,,,,,
10,124,11,Bildsten,Ben,SO,Macalester,,28:48.4,,MIAC,2017,,,,,,,,,,,124.0,,,,,,,3:36/K,,,,,,,,,,,,,,,
11,135,12,Richmond,Sam,JR,Macalester,,29:03.8,,MIAC,2017,,,,,,,,,,,135.0,,,,,,,3:38/K,,,,,,,,,,,,,,,
12,154,13,O'Donnell-hoff,Sam,SO,Macalester,,29:39.2,,MIAC,2017,,,,,,,,,,,154.0,,,,,,,3:42/K,,,,,,,,,,,,,,,
13,168,14,Feeney,Will,SR,Macalester,,29:58.6,,MIAC,2017,,,,,,,,,,,168.0,,,,,,,3:45/K,,,,,,,,,,,,,,,
14,174,15,Lewis-Norelle,Sasha,FR,Macalester,,30:09.1,,MIAC,2017,,,,,,,,,,,174.0,,,,,,,3:46/K,,,,,,,,,,,,,,,
15,178,16,Baumeister,Mark,FR,Macalester,,30:27.9,,MIAC,2017,,,,,,,,,,,178.0,,,,,,,3:48/K,,,,,,,,,,,,,,,
16,192,17,Levey,Elijah,FR,Macalester,,31:35.1,,MIAC,2017,,,,,,,,,,,192.0,,,,,,,3:57/K,,,,,,,,,,,,,,,
17,198,18,Martinez,Mason,JR,Macalester,,32:39.4,,MIAC,2017,,,,,,,,,,,198.0,,,,,,,4:05/K,,,,,,,,,,,,,,,
18,199,19,Hernandez,Armando,SO,Macalester,,32:48.2,,MIAC,2017,,,,,,,,,,,199.0,,,,,,,4:06/K,,,,,,,,,,,,,,,
8,9,1,Doherty, James,FR,Macalester,5:25.7,21:42.8,8,Twin Cities Invitational,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,11,2,Kerr, Fred,FR,Macalester,5:30.8,22:03.1,10,Twin Cities Invitational,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,12,3,Boranian, Chris,SR,Macalester,5:31.8,22:06.9,11,Twin Cities Invitational,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,13,4,Johnson, Adrian,SO,Macalester,5:31.9,22:07.3,12,Twin Cities Invitational,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,26,5,Grant, Spencer,SR,Macalester,5:40.7,22:42.6,21,Twin Cities Invitational,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,30,6,Mayse, Smith,FR,Macalester,5:43.5,22:54.0,23,Twin Cities Invitational,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,40,7,Hunsanger, Brett,FR,Macalester,5:53.8,23:35.1,29,Twin Cities Invitational,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,42,8,O'Donnell-Hoff, Sam,JR,Macalester,5:53.9,23:35.4,,Twin Cities Invitational,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,45,9,Watanabe, Yuto,FR,Macalester,5:54.9,23:39.4,,Twin Cities Invitational,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,56,10,Baumeister, Mark,SO,Macalester,6:07.3,24:28.9,,Twin Cities Invitational,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,60,11,Jarka-Sellers, Peter,JR,Macalester,6:08.6,24:34.3,,Twin Cities Invitational,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,66,12,Martinez, Mason,FR,Macalester,6:15.3,25:01.2,,Twin Cities Invitational,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,67,13,Levy, Elijah,1,Macalester,6:15.6,25:02.3,,Twin Cities Invitational,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,81,14,Richmond, Sam,SR,Macalester,6:36.4,26:25.4,,Twin Cities Invitational,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,15,Reyes Herrera, Edwin,JR,Macalester,,DNF,,Twin Cities Invitational,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,11,1,Doherty, James,FR-1,Macalester,5:28.8,27:14.8,11,St. Olaf Invitational,2018,,,,,,,,,,,,,,,,,,,27:14.8,11:15.5 (5:54.6),16:23.1 (5:07.7),27:14.8 (10:51.7),27:14.8,,,,,,,,,,
13,14,2,Lepak, Jake,JR-3,Macalester,5:31.5,27:27.8,14,St. Olaf Invitational,2018,,,,,,,,,,,,,,,,,,,27:27.8,11:04.1,16:14.4 (5:10.4),27:27.8 (11:13.5),27:27.8,,,,,,,,,,
21,22,3,Johnson, Adrian,SO-2,Macalester,5:34.6,27:43.3,22,St. Olaf Invitational,2018,,,,,,,,,,,,,,,,,,,27:43.3,11:10.9 (5:54.0),16:20.8 (5:09.9),27:43.3 (11:22.5),27:43.3,,,,,,,,,,
29,30,4,Grant, Spencer,SR-4,Macalester,5:37.2,27:56.6,28,St. Olaf Invitational,2018,,,,,,,,,,,,,,,,,,,27:56.6,11:15.3 (5:54.5),16:28.2 (5:12.9),27:56.6 (11:28.4),27:56.6,,,,,,,,,,
34,35,5,Reyes Herrera, Edwin,JR-3,Macalester,5:39.2,28:06.3,33,St. Olaf Invitational,2018,,,,,,,,,,,,,,,,,,,28:06.3,11:22.2 (5:58.1),16:38.0 (5:15.8),28:06.3 (11:28.4),28:06.3,,,,,,,,,,
37,38,6,Mayse, Smith,FR-1,Macalester,5:40.1,28:10.7,35,St. Olaf Invitational,2018,,,,,,,,,,,,,,,,,,,28:10.7,11:23.0 (5:59.2),16:37.9 (5:15.0),28:10.7 (11:32.8),28:10.7,,,,,,,,,,
42,43,7,Boranian, Chris,SR-4,Macalester,5:41.8,28:19.4,38,St. Olaf Invitational,2018,,,,,,,,,,,,,,,,,,,28:19.4,11:21.0 (6:00.1),16:38.2 (5:17.2),28:19.4 (11:41.2),28:19.4,,,,,,,,,,
43,44,8,Kerr, Fred,FR-1,Macalester,5:42.4,28:22.2,,St. Olaf Invitational,2018,,,,,,,,,,,,,,,,,,,28:22.2,11:20.9 (5:58.8),16:30.8 (5:09.9),28:22.2 (11:51.5),28:22.2,,,,,,,,,,
50,51,9,Jarka-Sellers, Peter,JR-3,Macalester,5:48.7,28:53.6,,St. Olaf Invitational,2018,,,,,,,,,,,,,,,,,,,28:53.6,11:35.7 (6:09.8),16:58.8 (5:23.1),28:53.6 (11:54.9),28:53.6,,,,,,,,,,
65,66,10,Watanabe, Yuto,FR-1,Macalester,5:55.9,29:29.2,,St. Olaf Invitational,2018,,,,,,,,,,,,,,,,,,,29:29.2,11:46.7 (6:09.1),17:18.7 (5:32.0),29:29.2 (12:10.6),29:29.2,,,,,,,,,,
69,70,11,O'Donnell-Hoff, Sam,JR-3,Macalester,5:58.0,29:39.7,,St. Olaf Invitational,2018,,,,,,,,,,,,,,,,,,,29:39.7,12:09.5 (6:25.6),17:42.7 (5:33.2),29:39.7 (11:57.0),29:39.7,,,,,,,,,,
71,72,12,Hunsanger, Brett,FR-1,Macalester,5:58.8,29:43.7,,St. Olaf Invitational,2018,,,,,,,,,,,,,,,,,,,29:43.7,11:49.5,17:27.4 (5:37.9),29:43.7 (12:16.4),29:43.7,,,,,,,,,,
75,76,13,Baumeister, Mark,SO-2,Macalester,6:02.4,30:01.7,,St. Olaf Invitational,2018,,,,,,,,,,,,,,,,,,,30:01.7,12:19.0 (6:33.4),17:56.9 (5:38.0),30:01.7 (12:04.8),30:01.7,,,,,,,,,,
76,77,14,Bildsten, Ben,JR-3,Macalester,6:02.8,30:03.5,,St. Olaf Invitational,2018,,,,,,,,,,,,,,,,,,,30:03.5,12:15.5 (6:28.7),17:51.3 (5:35.9),30:03.5 (12:12.3),30:03.5,,,,,,,,,,
80,81,15,Milner, Michael,JR-3,Macalester,6:05.9,30:18.9,,St. Olaf Invitational,2018,,,,,,,,,,,,,,,,,,,30:18.9,12:33.8,17:43.8 (5:10.1),30:18.9 (12:35.2),30:18.9,,,,,,,,,,
88,89,16,Levy, Elijah,JR-3,Macalester,6:10.0,30:39.5,,St. Olaf Invitational,2018,,,,,,,,,,,,,,,,,,,30:39.5,12:09.2 (6:25.6),17:57.2 (5:48.1),30:39.5 (12:42.3),30:39.5,,,,,,,,,,
96,97,17,Hernandez, Armando,JR-3,Macalester,6:27.9,32:08.3,,St. Olaf Invitational,2018,,,,,,,,,,,,,,,,,,,32:08.3,12:44.9 (6:46.3),18:44.7 (5:59.8),32:08.3 (13:23.6),32:08.3,,,,,,,,,,
